mv_TID5070_START5_SIZE2_FT_4_5_CLASS181,mv_TID5074_START23_SIZE2_FT_4_5_CLASS181,mv_TID5070_START3_SIZE1_FT_0_1_CLASS181,mv_TID5071_START24_SIZE3_FT_5_CLASS181,mv_TID5063_START8_SIZE1_FT_0_CLASS181,mv_TID5069_START5_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5069_START0_SIZE1_FT_0_1_CLASS181,mv_TID5074_START4_SIZE1_FT_1_4_CLASS181,mv_TID5074_START15_SIZE2_FT_5_CLASS181,mv_TID5071_START18_SIZE3_FT_0_5_CLASS181,mv_TID5071_START17_SIZE1_FT_1_5_CLASS181,mv_TID5071_START11_SIZE1_FT_0_1_4_CLASS181,mv_TID5067_START6_SIZE1_FT_0_1_CLASS181,mv_TID5062_START12_SIZE3_FT_0_4_5_CLASS181,mv_TID5063_START1_SIZE2_FT_0_5_CLASS181,mv_TID5070_START15_SIZE1_FT_0_1_CLASS181,mv_TID5070_START4_SIZE1_FT_1_4_5_CLASS181,mv_TID5063_START4_SIZE1_FT_0_1_CLASS181,mv_TID5067_START10_SIZE1_FT_0_1_CLASS181,mv_TID5071_START4_SIZE3_FT_5_CLASS181,mv_TID5069_START1_SIZE2_FT_5_CLASS181,mv_TID5062_START10_SIZE1_FT_0_CLASS181,mv_TID5074_START17_SIZE1_FT_1_4_5_CLASS181,mv_TID5067_START13_SIZE4_FT_0_4_CLASS181,mv_TID5071_START10_SIZE1_FT_0_5_CLASS181,mv_TID5067_START9_SIZE1_FT_0_1_CLASS181,mv_TID5063_START3_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5067_START2_SIZE3_FT_4_CLASS181,mv_TID5074_START14_SIZE1_FT_0_4_5_CLASS181,mv_TID5071_START0_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5071_START23_SIZE1_FT_0_CLASS181,mv_TID5074_START22_SIZE1_FT_0_1_5_CLASS181,mv_TID5069_START6_SIZE1_FT_1_4_5_CLASS181,mv_TID5070_START18_SIZE1_FT_1_CLASS181,mv_TID5074_START0_SIZE3_FT_5_CLASS181,mv_TID5063_START0_SIZE1_FT_0_4_CLASS181,mv_TID5070_START19_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5063_START9_SIZE4_FT_0_4_5_CLASS181,mv_TID5063_START13_SIZE3_FT_5_CLASS181,mv_TID5062_START8_SIZE2_FT_0_CLASS181,mv_TID5074_START13_SIZE1_FT_0_1_CLASS181,mv_TID5067_START1_SIZE1_FT_1_4_5_CLASS181,mv_TID5071_START8_SIZE1_FT_0_1_CLASS181,mv_TID5071_START27_SIZE1_FT_0_CLASS181,mv_TID5071_START22_SIZE1_FT_0_CLASS181,mv_TID5069_START9_SIZE1_FT_0_1_4_5_CLASS181,mv_TID5071_START21_SIZE1_FT_0_5_CLASS181,mv_TID5071_START16_SIZE1_FT_0_5_CLASS181,mv_TID5069_START4_SIZE1_FT_1_5_CLASS181,mv_TID5070_START0_SIZE1_FT_0_1_CLASS181,mv_TID5067_START12_SIZE1_FT_0_CLASS181,mv_TID5067_START17_SIZE1_FT_0_5_CLASS181,mv_TID5074_START3_SIZE1_FT_0_CLASS181,mv_TID5070_START8_SIZE1_FT_0_1_CLASS181,mv_TID5067_START7_SIZE2_FT_0_CLASS181,mv_TID5063_START5_SIZE2_FT_0_5_CLASS181,mv_TID5067_START0_SIZE1_FT_0_1_4_CLASS181,mv_TID5074_START5_SIZE4_FT_5_CLASS181,mv_TID5074_START18_SIZE1_FT_0_CLASS181,mv_TID5071_START2_SIZE1_FT_0_1_CLASS181,mv_TID5062_START6_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5070_START7_SIZE1_FT_0_CLASS181,mv_TID5074_START9_SIZE1_FT_0_1_CLASS181,mv_TID5062_START3_SIZE3_FT_5_CLASS181,mv_TID5067_START11_SIZE1_FT_0_4_5_CLASS181,mv_TID5067_START5_SIZE1_FT_0_1_CLASS181,mv_TID5070_START16_SIZE2_FT_0_1_5_CLASS181,mv_TID5062_START0_SIZE3_FT_5_CLASS181,mv_TID5070_START1_SIZE1_FT_0_4_5_CLASS181,mv_TID5069_START7_SIZE1_FT_0_1_CLASS181,mv_TID5069_START3_SIZE1_FT_1_4_CLASS181,mv_TID5074_START19_SIZE3_FT_4_CLASS181,mv_TID5069_START8_SIZE1_FT_0_CLASS181,mv_TID5070_START9_SIZE3_FT_0_4_5_CLASS181,mv_TID5071_START3_SIZE1_FT_0_1_CLASS181,mv_TID5062_START11_SIZE1_FT_0_CLASS181,mv_TID5070_START13_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5070_START12_SIZE1_FT_0_1_CLASS181,mv_TID5074_START10_SIZE3_FT_0_CLASS181,mv_TID5071_START9_SIZE1_FT_0_1_4_5_7_CLASS181,mv_TID5071_START1_SIZE1_FT_0_1_4_5_7_CLASS181,class
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"164"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"164"
0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,"181"
0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,"181"
0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,"181"
0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,"181"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"390"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"390"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"390"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"390"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"390"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"390"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"390"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"768"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"768"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"768"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"768"
